0	94.2495467034
1	89.6443528651
2	77.4579956643
3	84.2949371171
4	138.886094122
5	92.1974013641
6	79.9195659622
7	90.0098516472
8	102.677014965
9	148.541173208
10	78.3980265531
11	77.9591517511
12	79.5603601975
13	134.920351617
14	79.9162211218
15	150.133892691
16	82.2406743663
17	87.147904734
18	82.5451159993
19	134.912169639
20	93.3212622145
21	80.2541443886
22	80.4889671029
23	126.246417812
24	79.0227731741
25	79.0063137397
26	132.183786353
27	153.342459729
28	96.514688779
29	94.6883258286
30	90.0916905005
31	89.2351298335
32	95.3692723334
33	87.9095572022
34	147.013174455
35	88.948206198
