0	59.3529324444
1	62.8976067136
2	52.2074728772
3	74.6942483619
4	61.3630573514
5	59.4186055557
6	62.9469634592
7	61.8677758245
8	52.2074728772
9	52.2074728772
10	48.4989405282
11	67.8161453796
12	47.4038131417
13	54.2075894797
14	68.0518828159
15	56.6082482175
16	52.2074728772
17	52.2074728772
18	63.3346962668
19	56.310158444
20	57.4467678757
21	67.050555348
22	65.1745691282
23	41.9451771957
24	48.0375358602
25	52.7922715306
26	52.2074728772
27	59.6463369422
28	54.9244372014
29	52.2074728772
30	52.2074728772
31	69.2147698514
32	58.5832415747
33	48.7414970111
34	64.3983530692
35	58.0713454648
