-3	0.0
-2	14.5120639469
-1	20.5411714637
1	35.2875284287
2	36.9892007866
3	38.6473768751
4	47.1326582493
5	50.7805849746
6	53.8326352659
7	49.6578496156
8	51.4381821495
9	53.2898485612
10	53.8842147572
11	53.8842147572
12	53.8842147572
13	52.0295239342
14	50.8416442267
15	48.3918916761
16	46.0204480383
17	44.1623832744
18	41.7959253165
19	40.5709685692
20	38.2109273808
21	35.8233252825
22	33.952475999
23	31.5679000758
24	29.6490766595
25	27.2987341776
26	26.0096481904
27	26.0096481904
28	27.2022189141
29	28.9895035996
30	30.8194289723
31	34.4690864905
32	38.1182136661
33	41.7661403914
34	44.221496393
35	46.6768523945
36	49.1322083961
37	50.91254093
38	52.6954823652
39	53.2898485612
40	53.2898485612
41	53.3952598249
42	53.3952598249
43	51.614927291
44	48.6484219256
45	46.1959909656
46	43.1439406743
47	38.7958887234
48	33.3700190573
49	28.5445673963
50	23.6363634638
51	18.8091468535
52	15.849779146
53	15.2071384589
54	16.3903674379
55	19.4482307369
56	23.6781561095
57	28.5053727199
58	32.739713277
59	36.4390283133
60	40.2013860647
61	43.1549407646
62	45.5464167005
63	46.8109679529
64	47.9945318832
65	47.9945318832
66	47.2888484811
67	46.0285238541
68	44.9064375819
69	43.7228736516
70	41.8610311615
71	40.6805395415
72	38.814455588
73	37.0227299236
74	34.5607695362
75	32.0952062908
76	30.3079216053
77	27.8387557072
78	25.4649363324
79	23.0911169577
80	21.3131740169
81	20.1299450379
82	18.2873043508
83	17.111510208
84	15.2520984998
86	13.5343275782
87	11.07491587
88	8.01550416187
89	5.61550416187
90	3.1416407865
91	3.7416407865
92	4.87386337537
93	7.92352089355
94	10.9235208935
95	15.1661615807
96	20.0035162296
97	23.1512429804
98	26.7073049777
99	29.1764708758
100	32.2952942921
101	34.1714770213
102	36.0423263048
103	38.3939145905
104	39.5889459651
105	40.7694375851
106	41.2778307791
107	42.4583223992
108	42.377335077
109	41.7052366509
110	41.0802799037
111	40.4081814776
112	39.81089024
113	38.5415005763
114	37.4460106403
115	36.8487194027
116	35.0860740517
117	33.2962120904
118	31.5089274048
119	28.5384137403
120	24.904053662
121	20.2157690758
122	16.5784144269
123	11.7410597779
124	8.09841909076
125	5.0390073826
126	3.1416407865
127	1.8
128	0.6
129	0.6
130	0.0
131	0.0
132	0.6
133	0.6
134	0.6
135	0.6
136	1.2
137	1.2
138	0.6
139	0.6
140	0.6
141	0.6
142	0.0
143	0.6
144	0.6
145	1.2
146	1.2
147	1.2
148	1.2
149	0.6
150	0.6
151	0.0
152	0.0
153	0.0
154	0.0
155	0.0
156	0.0
157	0.0
158	0.0
159	0.0
160	0.6
161	2.4973665961
162	6.0973665961
163	9.6973665961
164	14.5347212451
165	19.9347212451
166	25.3646466178
167	29.4972053943
168	32.5244220046
169	36.1493787519
170	38.6113391393
171	41.6327404479
172	44.0242163838
173	46.4795723853
174	48.2737570836
175	49.4702016449
176	50.5922879171
177	51.8455959065
178	51.8455959065
179	51.7817158408
180	52.3802923593
181	53.0385386209
182	53.9316421301
183	53.4351679566
184	53.7498985152
185	54.8153301871
186	54.5314842273
187	55.1451333098
