Route	Time	Fuel
0	328	151.193811564
1	318	90.5475107386
2	43	76.9683337877
3	159	135.604741558
4	1318	379.529862672
5	33	39.1855398065
6	69	67.6720510644
7	164	95.2018912904
8	187	138.100062276
9	132	76.0713624527
10	889	236.232637683
11	173	139.115453458
12	518	285.079812636
13	114	58.0841163632
14	69	90.9565215925
15	460	144.287733287
16	87	71.8264691468
17	127	86.1120671661
18	33	38.0431437715
19	283	150.451752673
20	111	124.42701346
21	71	44.3125772571
22	794	248.186437359
23	321	149.026676537
24	912	354.019184776
25	303	112.986714338
26	50	37.1671116633
27	284	115.801752949
28	104	91.5055001503
29	93	130.198514062
30	467	260.257774745
31	606	202.366171068
32	53	51.7571835383
33	132	137.81257456
34	202	141.265958286
35	38	84.0234202036
36	384	204.661326484
37	97	98.7942517593
38	318	139.406758257
39	292	97.6444947247
40	77	55.9411118302
41	210	118.64812775
42	223	129.415622272
43	1009	299.624502176
44	206	96.3901622416
45	699	220.419459758
46	117	56.1701131819
47	213	117.789083704
48	305	240.739692141
49	378	173.107254215
50	69	56.1770429458
51	706	219.018125163
52	348	178.231075954
53	162	256.45138313
54	408	161.153061005
55	203	80.3633357496
56	36	31.9193267679
57	676	185.92655708
58	364	150.390429263
59	165	117.682676351
60	111	76.5667358667
61	394	111.190186089
62	367	172.817245397
63	374	186.990192455
64	39	39.2001333729
65	574	194.809189008
66	24	29.942290528
67	577	211.378533881
68	362	135.347589746
69	112	169.785158855
70	132	81.9064142132
71	356	130.270065871
72	281	252.724865299
73	356	117.547290545
74	51	96.135993295
75	106	90.7984239735
76	174	237.649479529
77	1492	436.154742872
78	76	57.3079504454
79	852	284.777274633
80	54	52.2932643045
81	243	80.6437115055
82	133	127.634140452
83	462	181.753196764
84	865	325.269241657
85	330	183.179836883
86	109	112.913443664
87	146	85.2007756846
88	73	67.0362515554
89	56	43.9124396085
90	651	199.836380401
91	157	113.501675541
92	556	209.960245601
93	237	117.325256387
94	94	60.3867803432
95	686	248.49295555
96	388	144.902392193
97	111	102.923393544
98	62	59.2011555004
99	285	170.546403824
100	290	123.909766823
101	204	98.4467697783
102	63	45.594678727
103	682	186.253976536
104	83	64.1896786365
105	157	103.420502025
106	709	190.944629401
107	60	61.383433871
