Route	Time	Fuel
0	105	147,043269318
1	20	41,1147652269
2	27	54,0003930118
3	130	136,70846851
4	149	154,174397468
5	59	79,8881991915
6	118	169,072483544
7	56	97,7930157567
8	76	100,261566525
9	137	126,55349572
10	72	89,1481745685
11	143	165,099255826
12	79	108,162058304
13	82	93,3816310272
14	77	111,288728205
15	41	54,7254445887
16	90	114,756339979
17	79	103,039735619
18	89	105,258686907
19	160	186,621750455
20	60	135,21439399
21	106	82,3977861638
22	153	175,035347487
23	74	119,034528593
24	129	177,721957839
25	65	122,107464103
26	77	71,0781617065
27	143	137,268952309
28	75	114,517791218
29	131	141,31252079
30	112	151,463115799
31	52	78,4935362729
32	179	185,647050033
33	49	92,6031810723
34	121	178,314901786
35	96	133,069411396
36	27	54,8125432586
37	281	246,440908495
38	41	66,6968680198
39	166	201,584162305
40	79	83,3087752368
41	176	135,73915177
42	67	71,0134457383
43	76	83,8696285653
44	104	132,287080917
45	138	165,630467924
46	115	184,50746136
47	144	146,218526093
48	41	66,6156016529
49	152	179,184757406
50	137	172,027280492
51	138	159,609426996
52	173	119,492129595
53	85	132,633561654
54	127	137,230379794
55	156	189,011181044
56	82	71,3256059219
57	86	62,0115388427
58	127	147,040798153
59	171	190,751795816
60	200	185,447536408
61	125	164,122288717
62	145	115,710217668
63	96	223,383342488
64	122	146,39782162
65	29	61,9017662562
66	168	191,054043639
67	65	89,9633218033
68	98	137,217969707
69	140	144,184520759
70	38	128,915000732
71	108	143,292387503
72	228	236,395681063
73	150	168,190466984
74	91	126,293136851
75	26	85,7838301564
76	137	143,332716279
77	151	135,478678391
78	153	188,018305336
79	25	46,6913854478
80	239	227,06689785
81	74	106,563693306
82	70	92,2935938112
83	99	123,831387286
84	49	89,6436794838
85	204	210,198064668
86	109	141,125778351
87	85	94,9013262619
88	94	122,467654103
89	56	93,6736431981
90	38	70,9776434045
91	184	125,334668594
92	156	166,582724737
93	119	163,284849273
94	53	99,0573519425
95	86	152,522303136
96	150	178,60436603
97	123	166,045187723
98	163	165,834452721
99	161	130,020415187
100	191	203,231431049
101	117	160,593106542
102	125	151,648182316
103	70	85,2394986678
104	67	92,1868549842
105	88	100,93467371
106	63	110,87617556
107	120	124,161886493
