0	114.815391428
1	112.103985521
2	133.895697733
3	127.70327129
4	123.496459554
5	123.590807112
6	140.917475528
7	134.722182381
8	124.901433011
9	125.948986691
10	124.022308954
11	119.867978817
12	133.976011572
13	138.330540369
14	122.938960888
15	138.095484653
16	138.909959172
17	126.698570378
18	140.129934994
19	136.140454578
20	131.469526184
21	126.899691171
22	124.501563074
23	126.437832485
24	108.451782183
25	110.201090232
26	128.592330757
27	124.62965245
28	117.000063093
29	109.446471874
30	122.598886924
31	103.872477564
32	102.515632863
33	118.983243699
34	130.992976464
35	127.325047311
36	146.044543377
37	138.923746346
38	136.853161453
39	140.736981421
40	132.872092731
41	139.649470443
42	139.562352942
43	132.970709531
44	142.631259073
45	135.301781087
46	120.140259892
47	136.069512159
48	138.874960058
49	127.518905498
50	140.927788013
51	144.925074674
52	141.844649928
53	135.713017131
54	142.808598166
55	133.336491726
56	135.124166188
