0	33.3421483548
1	56.3196619763
2	37.0893992722
3	29.2840020773
4	51.8011708612
5	30.9460572093
6	31.1734731462
7	27.1068060313
8	32.1843132592
9	38.815508081
10	23.8700237191
11	55.6000054363
12	27.2324510931
13	13.731365873
14	26.3038368673
15	34.7832430977
16	49.6422012409
17	46.578982278
18	17.0678276714
19	56.5595474897
20	44.1995895602
21	27.2979695507
22	55.2295090351
23	32.8776429774
24	28.6251654295
25	25.0128789451
26	20.3326506416
27	29.7722471915
28	17.223750247
29	54.8803488962
30	27.518384692
31	33.8827769226
32	17.0678276714
33	25.2989972615
34	42.929693189
