0	158.552014718
1	185.203227179
2	168.767923114
3	174.951013286
4	202.569287916
5	424.22760112
6	215.670020477
7	200.789248573
8	196.426365637
9	179.742658996
10	210.779545489
11	197.473115702
12	188.227713698
13	207.769393934
14	195.464986082
15	203.501639308
16	199.067099575
17	232.673939773
18	250.370467611
19	270.328795387
20	456.769199446
21	266.347927971
22	326.976677503
23	315.701717915
24	413.445225597
25	510.791876968
26	346.486456063
27	408.547530848
28	400.872034061
29	566.569532551
30	347.702880049
31	330.255737497
32	304.375236194
33	309.195252519
34	511.644922749
35	487.515211127
36	257.547100849
37	484.963645098
38	286.906402307
39	274.348689201
40	278.485002591
41	267.079790951
42	235.200075265
43	274.209229596
44	459.468990621
45	286.423503602
46	243.720627588
47	349.365302568
48	430.946874776
49	248.804402563
